usuario_id,item_id,nota
1,7,3
1,11,5
1,15,4
1,18,2
1,23,5
1,27,3
1,29,4
1,30,5
1,12,2
1,14,3
1,17,5
1,21,4
1,25,2
1,28,3
1,19,4
1,22,5
1,26,3
1,24,2
1,13,4
2,8,3
2,9,5
2,11,4
2,13,2
2,15,5
2,18,4
2,20,3
2,23,2
2,26,5
2,28,4
2,30,3
2,12,5
2,17,4
2,19,3
2,21,2
2,25,4
2,27,5
2,29,3
2,14,4
2,16,2
3,2,3
3,6,5
3,8,4
3,10,2
3,12,5
3,14,3
3,17,4
3,19,2
3,23,5
3,25,3
3,27,4
3,28,5
3,30,2
3,13,4
3,15,3
3,16,2
3,18,4
3,20,5
3,22,3
3,24,4
4,1,5
4,3,4
4,5,2
4,7,3
4,9,4
4,11,5
4,13,3
4,15,2
4,17,5
4,19,3
4,21,4
4,23,5
4,25,2
4,27,4
4,29,3
4,30,5
4,12,2
4,14,4
4,16,3
4,18,5
5,1,4
5,2,3
5,6,5
5,7,2
5,9,4
5,11,3
5,13,5
5,15,2
5,18,4
5,20,3
5,22,5
5,23,2
5,25,4
5,27,3
5,28,5
5,30,2
5,12,4
5,14,3
5,16,5
5,19,2
6,1,5
6,3,3
6,5,4
6,8,2
6,9,5
6,11,3
6,12,4
6,14,2
6,16,5
6,18,3
6,19,4
6,21,5
6,23,2
6,25,4
6,26,3
6,28,5
6,30,2
6,13,4
6,15,3
6,17,5
7,3,4
7,4,5
7,5,3
7,6,2
7,8,4
7,10,5
7,11,2
7,13,3
7,15,5
7,17,4
7,20,3
7,21,2
7,23,5
7,24,3
7,26,4
7,28,5
7,29,2
7,30,4
7,12,3
7,14,5
8,1,4
8,2,3
8,4,5
8,5,2
8,7,3
8,9,4
8,11,5
8,13,3
8,16,4
8,17,5
8,19,3
8,21,4
8,23,2
8,25,5
8,27,3
8,28,4
8,30,5
8,12,2
8,14,3
8,20,4
9,1,3
9,2,5
9,5,4
9,6,2
9,10,3
9,12,5
9,14,4
9,15,3
9,17,2
9,18,5
9,20,4
9,21,3
9,23,5
9,24,2
9,26,3
9,28,4
9,29,5
9,30,2
9,13,4
9,19,3
10,1,5
10,3,4
10,4,2
10,6,3
10,7,5
10,11,4
10,12,2
10,13,3
10,16,4
10,18,5
10,19,3
10,21,2
10,23,4
10,24,5
10,26,3
10,27,2
10,29,4
10,30,5
10,15,3
10,20,4
11,2,4
11,4,3
11,5,5
11,7,2
11,8,4
11,10,3
11,12,5
11,13,2
11,15,4
11,17,3
11,19,5
11,20,2
11,22,4
11,23,3
11,25,5
11,27,4
11,29,2
11,30,5
11,14,3
11,18,4
12,1,4
12,3,5
12,5,2
12,6,4
12,7,3
12,8,5
12,9,2
12,11,3
12,13,5
12,15,4
12,17,3
12,18,5
12,20,2
12,22,4
12,23,3
12,25,5
12,26,4
12,28,2
12,29,5
12,30,3